iter	Passed	Remaining
0	1	113
1	2	112
2	3	127
3	5	138
4	6	131
5	8	134
6	9	132
7	11	132
8	12	131
9	14	127
10	15	127
11	17	129
12	22	149
13	29	179
14	35	199
15	45	236
16	48	238
17	50	231
18	52	222
19	53	212
20	54	203
21	54	194
22	55	187
23	56	179
24	57	172
25	58	165
26	59	159
27	59	154
28	60	148
29	61	144
30	62	138
31	63	135
32	64	131
33	66	128
34	68	126
35	70	124
36	71	121
37	72	118
38	74	116
39	76	114
40	78	112
41	79	109
42	85	113
43	92	117
44	100	122
45	110	130
46	113	128
47	115	125
48	116	121
49	117	117
50	118	114
51	119	110
52	120	106
53	121	103
54	122	99
55	122	96
56	123	93
57	124	90
58	125	87
59	127	84
60	128	82
61	129	79
62	130	76
63	132	74
64	134	72
65	136	70
66	138	68
67	140	66
68	142	64
69	148	63
70	154	63
71	163	63
72	173	64
73	179	63
74	182	60
75	183	57
76	184	55
77	186	52
78	187	49
79	188	47
80	188	44
81	189	41
82	190	39
83	191	36
84	192	33
85	193	31
86	194	29
87	194	26
88	195	24
89	198	22
90	199	19
91	201	17
92	203	15
93	204	13
94	206	10
95	208	8
96	213	6
97	218	4
98	225	2
99	233	0
